0.489012	0.260131	-0.947224	-14.7791	11.4155	-1.11435	257.258	ˇ	Ã	ò
0.503708	0.625961	-0.747364	-8.24786	-12.9857	-3.32057	195.449	ˇ	¶	Q
0.489985	-0.946868	0.288348	8.53761	-2.5772	17.3956	428.606	ˇ	‘	®
-0.733539	0.2685	0.788945	-7.52998	-7.77831	5.50157	259.376	º	—	ˇ
0.335079	0.440286	0.962613	0.258901	13.3054	-8.4797	348.988	…	Ÿ	˛
-0.488004	-0.456809	0.89469	-9.1812	-3.89426	-7.80294	467.452	ˇ	Í	‹
0.445566	-0.965155	0.350765	12.4426	-4.79149	1.06632	522.46	ˇ	¶	Q
-0.697409	-0.532874	-0.699803	-2.61748	-13.7575	-2.37631	458.538	ˇ	 	ï
0.198719	-0.890434	0.66767	-13.3046	-9.08021	12.3678	454.211	≤	 	ˇ
-0.664545	-0.382624	-0.838146	0.0604231	5.13836	-7.17993	165.746	ˇ	¶	Q
-0.300541	-0.954572	-0.543664	-0.380071	13.1158	8.5087	104.104	 	Ÿ	˛
-0.977138	0.44523	0.386036	-3.45818	13.5101	8.71774	343.264	ˇ	·	≈
0.565734	0.418516	0.899643	2.49197	-16.541	0.337077	137.819	ˇ	¶	Q
-0.869566	-0.627863	0.39845	-3.5218	3.64067	12.7607	405.281	ˇ	Ê	”
0.486016	0.540121	-0.886985	-9.2639	-6.63568	-1.15808	348.975	·	Â	˘
-0.892763	0.300988	-0.65459	2.20197	14.9034	0.0962798	444.982	ˇ	…	í
0.871071	-0.734856	0.145862	8.80199	2.26908	-5.28588	551.537	ˇ	≈	ã
0.689595	0.866526	-0.308413	-3.13297	2.6372	2.61858	253.214	ˇ	Í	›
-0.402047	0.606966	0.896916	5.98855	6.37172	-11.3617	598.235	ˇ	”	¶
-0.259171	0.176217	1.11796	5.74418	9.41868	-6.31315	309.038	¬	’	ˇ
0.82155	-0.781251	-0.253661	-2.10904	3.2905	-21.5745	332.583	¿	”	ˇ
-0.115979	1.15759	-0.106079	-7.73184	-16.0868	8.43568	480.068	ˇ	Â	—
-0.999077	-0.606079	-0.00555286	0.167467	16.8636	-1.36352	557.134	ˇ	“	•
-0.605163	0.896805	0.474457	14.6761	-4.9087	-12.729	339.983	€	‚	˙
